layer,dataset,precision,recall,f1_score,eer
0,ASVspoof19_LA,0.9985770750988142,0.7909583294198679,0.8827239216645412,10.020394289700915
1,ASVspoof19_LA,0.9998147908062156,0.8450424219654988,0.9159363732767762,3.656742118280565
2,ASVspoof19_LA,0.999948092395536,0.9046679815910585,0.9499248009073202,1.6123477662161663
3,ASVspoof19_LA,0.9998800938693708,0.9137472214395291,0.9548752259510391,0.9940202247914443
4,ASVspoof19_LA,0.9999310047434239,0.9074700228546383,0.9514594976078519,0.9381373216116043
5,ASVspoof19_LA,0.9999342926604902,0.952881875958799,0.9758412286186057,0.5302515294636855
6,ASVspoof19_LA,0.9999023977616553,0.962211577596193,0.9806949806949807,0.5651044112841553
7,ASVspoof19_LA,0.9998711713742794,0.9719482796405874,0.9857120177806001,0.5438477225380373
8,ASVspoof19_LA,0.9998721288940747,0.9792273253811715,0.9894420499031199,0.48946295038892024
9,ASVspoof19_LA,0.9999044829342842,0.9832190601421371,0.9914915783990276,0.40788579206225206
10,ASVspoof19_LA,0.999856918014022,0.9845026768103691,0.9921203946901398,0.5710401086181134
11,ASVspoof19_LA,0.9995725683890577,0.9884004884004884,0.9939551357733176,0.6934058464634743
12,ASVspoof19_LA,0.9993360628527166,0.9895901818978742,0.9944392446181798,0.7983469521679702
13,ASVspoof19_LA,0.9989433010014983,0.9914842991766069,0.995199824019735,0.8813124197738417
14,ASVspoof19_LA,0.9987392640453865,0.9920634920634921,0.9953901850993819,0.9381373216126078
15,ASVspoof19_LA,0.9989102624846016,0.9900911054757209,0.9944811320754717,0.9642778873539666
16,ASVspoof19_LA,0.9988939276628691,0.9895901818978742,0.9942202895359719,1.006118286791281
17,ASVspoof19_LA,0.9986224368616895,0.9872577564885258,0.9929075781071657,1.250849762057051
18,ASVspoof19_LA,0.9983925899990451,0.9820137127829436,0.9901354209413176,1.577158395670521
19,ASVspoof19_LA,0.9984313725490196,0.9764409379793996,0.9873137222314553,1.9306594154258037
20,ASVspoof19_LA,0.9981703500409264,0.9735606274067813,0.9857119083279842,2.103879026951464
21,ASVspoof19_LA,0.9981998056427331,0.9808396731473654,0.9894435978618745,1.7610594533667905
22,ASVspoof19_LA,0.9977554204208985,0.9811370965217119,0.9893764798737175,1.898813437274984
23,ASVspoof19_LA,0.9965880056496279,0.9830312138004446,0.9897631900390086,2.2275445352367766
24,ASVspoof19_LA,0.9959595316874523,0.9800882877805954,0.9879601723131302,2.7065527065500237
0,ASVspoof21_DF,0.9804046485206598,0.8358113031632021,0.9023522628436288,34.446604229387404
1,ASVspoof21_DF,0.9817971255493526,0.8978533313419055,0.937950794675215,29.263120692725092
2,ASVspoof21_DF,0.9823828852808092,0.9354528461576759,0.9583436693644674,27.811647137096244
3,ASVspoof21_DF,0.9821514950852623,0.94651884841161,0.9640060109062917,24.26441635324312
4,ASVspoof21_DF,0.9829906842274333,0.969479105848914,0.9761881432904113,19.52641809514891
5,ASVspoof21_DF,0.985022681941737,0.9857092424880175,0.9853658426234255,13.765682982845195
6,ASVspoof21_DF,0.9877929885851241,0.9905022471452429,0.9891457627118644,9.736702597739336
7,ASVspoof21_DF,0.9881956990894468,0.9926950807207158,0.9904402799729058,8.205218825549506
8,ASVspoof21_DF,0.9910066274064869,0.996214024177744,0.9936035029511009,5.766625434479652
9,ASVspoof21_DF,0.9906734610424334,0.9978026404522351,0.9942252708102209,5.424151493306601
10,ASVspoof21_DF,0.9904548284363853,0.9972753646802174,0.9938533948407307,6.1969612622031525
11,ASVspoof21_DF,0.9893712800041311,0.9972142640542755,0.9932772900885956,6.714967308780367
12,ASVspoof21_DF,0.9894785057053174,0.9972708387079254,0.9933593908492135,6.561818931529312
13,ASVspoof21_DF,0.9884299264273498,0.9965987318225638,0.9924975209591634,7.445367261488668
14,ASVspoof21_DF,0.9867017639053003,0.9958677872974062,0.9912635869412193,9.241915532685015
15,ASVspoof21_DF,0.9864754842920488,0.9953224076362205,0.9908791992349206,9.597776842414598
16,ASVspoof21_DF,0.9866148037981924,0.9953156186777825,0.9909461126413086,8.970960711646967
17,ASVspoof21_DF,0.986972978915791,0.9954491348603964,0.9911929363225749,8.599870412985783
18,ASVspoof21_DF,0.9874274792298712,0.9913870747283285,0.9894033154162338,8.455647734524586
19,ASVspoof21_DF,0.9883571002880134,0.9870263004249888,0.9876912520819345,8.733316134615276
20,ASVspoof21_DF,0.9890942221134364,0.9876169398090945,0.9883550289425769,8.55182464571312
21,ASVspoof21_DF,0.9885811417952844,0.9883999330156101,0.9884905291007087,8.634197341443151
22,ASVspoof21_DF,0.9885535029311717,0.9891127736515997,0.9888330592123868,7.802776231428616
